Keys | Values
000000 | _
000001 | Y
00001 | s
000100 | 9
000101 | n
000110 | G
000111 | !
001000 | 7
001001 | Z
001010 | =
001011 | S
001100 | T
001101 | Q
001110 | )
001111 | .
010000 | F
010001 | (
010010 | %
010011 | &
010100 | A
010101 | W
010110 | D
010111 | O
011000 | L
011001 | t
011010 | J
011011 | U
011100 | x
011101 | q
011110 | w
011111 | u
100000 | a
100001 | X
100010 | 1
100011 | k
100100 | f
100101 | h
100110 | c
100111 | i
101000 | e
101001 | E
101010 | ^
101011 | j
101100 | $
101101 | g
10111 | *
1100000 | P
1100001 | 8
1100010 | v
1100011 | K
1100100 | l
1100101 | H
1100110 | m
1100111 | o
1101000 | z
1101001 | y
1101010 | r
1101011 | 3
1101100 | 6
1101101 | @
1101110 | 5
1101111 | C
111000 | +
1110010 | 4
1110011 | 2
1110100 | I
1110101 | M
1110110 | V
1110111 | -
111100 | /
1111010 | R
1111011 | #
1111100 | N
1111101 | b
1111110 | 0
1111111 | B
