Keys | Values
! | 000111
# | 1111011
$ | 101100
% | 010010
& | 010011
( | 010001
) | 001110
* | 10111
+ | 111000
- | 1110111
. | 001111
/ | 111100
0 | 1111110
1 | 100010
2 | 1110011
3 | 1101011
4 | 1110010
5 | 1101110
6 | 1101100
7 | 001000
8 | 1100001
9 | 000100
= | 001010
@ | 1101101
A | 010100
B | 1111111
C | 1101111
D | 010110
E | 101001
F | 010000
G | 000110
H | 1100101
I | 1110100
J | 011010
K | 1100011
L | 011000
M | 1110101
N | 1111100
O | 010111
P | 1100000
Q | 001101
R | 1111010
S | 001011
T | 001100
U | 011011
V | 1110110
W | 010101
X | 100001
Y | 000001
Z | 001001
^ | 101010
_ | 000000
a | 100000
b | 1111101
c | 100110
e | 101000
f | 100100
g | 101101
h | 100101
i | 100111
j | 101011
k | 100011
l | 1100100
m | 1100110
n | 000101
o | 1100111
q | 011101
r | 1101010
s | 00001
t | 011001
u | 011111
v | 1100010
w | 011110
x | 011100
y | 1101001
z | 1101000
